,tweet,clean_tweet,hastags,attherate,urls,emojis,label
206,"DM #Baramulla further extends Corona Curfew imposed in the District from 7:00 AM Monday, 10.05.2021 to 7:00 AM Monday, 17-05-2021. @OfficeOfLGJandK @nitishwarKumar @bhatray @NHMJK5 @diprjk @SoporePolice @BaramullaPolice @amitdhir29  https://t.co/A7Bj36bgkV",extend corona curfew impos district monday monday ,['#Baramulla'],"['@OfficeOfLGJandK', '@nitishwarKumar', '@bhatray', '@NHMJK5', '@diprjk', '@SoporePolice', '@BaramullaPolice', '@amitdhir29']",['https://t.co/A7Bj36bgkV'],[],2
207,Corona curfew stand extended in District Kulgam till 7 AM 17-05-2021 (Monday). pls cooperate in breaking the chain. Follow SOPs in strict way. @diprjk,corona curfew stand extend district kulgam till monday cooper break chain follow sop strict way ,[],['@diprjk'],[],[],2
208,"@CollectorDnh @DNH_DMA @Comdoab  Respt.Sir,Summer time is going on, however, after 4 pm, the market is getting more crowded. Social Distance is not being followed, we request you to give relief by making a small change in the current time of night curfew.",resptsirsumm time market crowd social distanc follow request relief small chang current time night curfew ,[],"['@CollectorDnh', '@DNH_DMA', '@Comdoab']",[],[],2
209,Corona Curfew already imposed in all the 20 districts of J&amp;K till 7 am on 10th of May has been extended by the administration further by seven days till 7 am on 17th of May. The curfew will be strict except for a few essential services.@DMReasi @teamjkngo @JmuKmrPolice @TeamJkac  https://t.co/WqaoAaSMY9,corona curfew impos district jampk till extend administr seven day till curfew strict essenti servic ,[],"['@teamjkngo', '@JmuKmrPolice', '@TeamJkac']",['https://t.co/WqaoAaSMY9'],[],2
210,"#ForPublicInfo | Corona Curfew imposed in district Leh has been extended by the administration further by seven days till  5 am on 17th of May. Vegetables/ Fruit, Grocery, meat/chicken shops bakeries shall be allowed to open daily from 8 am to 1 pm.  https://t.co/XbeIoV20Kl",corona curfew impos district leh extend administr seven day till veget fruit groceri meatchicken shop bakeri shall allow open daili ,['#ForPublicInfo'],[],['https://t.co/XbeIoV20Kl'],[],2
211,Corona Curfew already imposed in all the 20districts of J&amp;K till 7am on 10th of May has been extended by the administration further by seven days till 7am on 17th of May.The curfew will be strict except for a few essential services.@DMReasi @diprjk @OfficeOfLGJandK @airnewsalerts,corona curfew impos district jampk till extend administr seven day till mayth curfew strict essenti servic ,[],"['@diprjk', '@OfficeOfLGJandK', '@airnewsalerts']",[],[],2
214,@indiatvnews curfew i see,curfew ,[],['@indiatvnews'],[],[],2
217,They should have announced curfew instead.,announc curfew instead ,[],[],[],[],2
220,Extension of Corona Curfew regarding.,extens corona curfew ,[],[],[],[],2
221,"#hindustanibhau  uses ambulance to travel during curfew, arrested  https://t.co/GGXw4JBgAJ",ambul travel curfew arrest ,['#hindustanibhau'],[],['https://t.co/GGXw4JBgAJ'],[],2
222,*Corona Curfew’ Extended In All 20 Districts of Jammu and Kashmir Till May 17*  https://t.co/X6pniYmi2w,corona curfew extend district jammu kashmir till ,[],[],['https://t.co/X6pniYmi2w'],[],2
223,#BREAKING  In #JammuAndKashmir Corona curfew extended in all 20 districts of the Union Territory till 17th May.,corona curfew extend district union territori till ,"['#BREAKING', '#JammuAndKashmir']",[],[],[],2
224,"Breaking  Corona Curfew imposed in all 20 districts of J&amp;K till 7 am on Monday, 10/5/21 is extended further by 7 days till 7 am on Monday, 17/5/21. The curfew will be strict except for a few essential services.",break corona curfew impos district jampk till monday extend day till monday curfew strict essenti servic ,[],[],[],[],2
225,"*COVID CONTAINMENT*  &gt;&gt;&gt; Corona Curfew imposed in all 20 districts of J&amp;K till 7 am on Monday, 10/5/21 is extended further by 7 days till 7 am on Monday, 17/5/21. The curfew will be strict except for a few essential services.",covid contain gtgtgt corona curfew impos district jampk till monday extend day till monday curfew strict essenti servic ,[],[],[],[],2
226,"Corona Curfew is extended further by 7 days till 7 am on Monday, 17-05-21 In the Union Territory of Jammu and Kashmir. #MaskUpIndia  #Stayinside #CoronaCurfew  @Shahnawaz_JK @PoonchDm @PoonchPolice @ShenazGanai",corona curfew extend day till monday union territori jammu kashmir ,"['#MaskUpIndia', '#Stayinside', '#CoronaCurfew']","['@Shahnawaz_JK', '@PoonchDm', '@PoonchPolice', '@ShenazGanai']",[],[],2
228,"Corona Curfew imposed in all 20 districts of J&amp;K till 7 am on Monday, 10/5/21 is extended further by 7 days till 7 am on Monday, 17/5/21. The curfew will be strict except for a few essential services.  Further, the gathering permissible for marriages is reduced to 25 only",corona curfew impos district jampk till monday extend day till monday curfew strict essenti servic gather permiss marriag reduc ,[],[],[],[],2
229,First day without curfew has been a bliss.,day curfew bliss ,[],[],[],[],2
231,One hour left for curfew! #lka #covid19lk #covid19sl,hour left curfew ,"['#lka', '#covid19lk', '#covid19sl']",[],[],[],2
232,"@Fframedindallas @PenroseWilliam Wont be celebrating in Sri lanka.  Full lockdown and  curfew till monday morning.  No parties,  gatherings. 🤧🤯🥳🥵🤒🤬😈",wont celebr sri lanka lockdown curfew till monday morn parti gather ,[],"['@Fframedindallas', '@PenroseWilliam']",[],"['🤧', '🤯', '🥳', '🥵', '🤒', '🤬', '😈']",2
234,"@srinagaradmin @AsadamAijaz Administration cannot place indefinite curfew in the valley. We are under curfew since Aug 2019. We are losing mental health, wealth, income and life. Come up with idea like Taiwan and china did.Our children and income is suffering.",administr place indefinit curfew valley curfew aug lose mental health wealth incom life idea like taiwan china didour child incom suffer ,[],"['@srinagaradmin', '@AsadamAijaz']",[],[],2
235,"@NewsfirstSL it’s looks like a curfew , but not 😂",look like curfew ,[],['@NewsfirstSL'],[],['😂'],2
237,@HPA_MV This curfew make no sense...this will not stop the spreading of virus...during the non curfew hours people gathering in markets and other areas n there are no restrictions..u have to impose more stringent rules,curfew sensethi stop spread virusdur non curfew hour peopl gather market area restrictionsu impos stringent rule ,[],['@HPA_MV'],[],[],2
239,"Therea a monsoon, the buses aren't running its lightning the tuk tuks are busy and charging double and my hotels 7km away I havent shopped yet and we go under lockdown curfew in few hours till monday. What to do..🤔🥵🥵😄😄☔⛈  https://t.co/QdSvpl8s12",therea monsoon arent lightn tuk tuk busi charg doubl hotel away havent shop lockdown curfew hour till monday ,[],[],['https://t.co/QdSvpl8s12'],"['🤔', '🥵', '🥵', '😄', '😄', '☔', '⛈']",2
240,@gpsinghassam @HardiSpeaks @DGPAssamPolice Sir is their any restriction on movement of commercial vehicles and transport inter-state n intrastate  carring essential and non essential goods during curfew from 2pm to 5 pm,restrict movement commerci vehicl transport interst intrast car essenti non essenti curfew ,[],"['@gpsinghassam', '@HardiSpeaks', '@DGPAssamPolice']",[],[],2
241,"@gpsinghassam @assampolice Sir, please clear the situation about commercial vehicles carrying essential consumables or for construction supplies. Are they allowed or they also need to follow odd-even and night curfew? Yesterday some vehicles were stopped by police after sunset at Sarupathar, Golaghat",clear situat commerci vehicl carri essenti consum construct suppli allow follow oddeven night curfew yesterday vehicl stop polic sunset sarupathar golaghat ,[],"['@gpsinghassam', '@assampolice']",[],[],2
242,"I still don’t get why people queue at fuel sheds before a lockdown. Sorry, curfew. Sorry, travel restriction.  “where are ya’ll trying to go?” 🙄 #SriLanka",dont peopl queue fuel shed lockdown sorri curfew sorri travel restrict where yall ,['#SriLanka'],[],[],['🙄'],2
243,‘Categories of Persons’ exempted from restrictions during the Curfew Hours in the state. (2:00PM to 5:00AM) #Assam  https://t.co/Ocev5mUVTu,categori person exempt restrict curfew hour state ,['#Assam'],[],['https://t.co/Ocev5mUVTu'],[],2
