,tweet,clean_tweet,hastags,attherate,urls,emojis,label
2092,"Pub, bar owners in #Noida #Ghaziabad #Indirapuram oppose night curfew, hope it doesn't get extended beyond April 17.  My report in @htdelhi @HTNoidaGzb   https://t.co/ef1fUc3DyR  https://t.co/4fuVywWC1p",pub bar owner oppos night curfew hope doesnt extend april report ,"['#Noida', '#Ghaziabad', '#Indirapuram']","['@htdelhi', '@HTNoidaGzb']","['https://t.co/ef1fUc3DyR', 'https://t.co/4fuVywWC1p']",[],2
2093,Some states are making a joke of night curfew. From 10 pm to 5 am has no meaning. When most people remain in house and sleep.  It should be from 7 pm to 6 am to have some effect,state joke night curfew mean peopl remain hous sleep effect ,[],[],[],[],2
2094,Night Curfew mein Delhi ka yeh haal 🤦‍♀️  https://t.co/9FRHdIFm6A,night curfew mein delhi yeh haal ,[],[],['https://t.co/9FRHdIFm6A'],['🤦\u200d♀️'],2
2095,That feeling after beating the curfew...,feel beat curfew ,[],[],[],[],2
2096,Well they just put in a curfew and alcohol ban in effect. Gonna be a healthy two weeks.,curfew alcohol ban effect gon healthi week ,[],[],[],[],2
2097,"@komal_42 @NehaT_ Weekend lockdown was imformed well in advance, when the night curfew was announced.",weekend lockdown imform advanc night curfew announc ,[],"['@komal_42', '@NehaT_']",[],[],2
2098,Night Curfew me makan kabja by police inspector Pradeep Kumar Singh SHO Mahanagar Lucknow on instruction of Police commissioner Mr D K thakur in night curfew at 11 pm @Secretary_MoHUA @RahulGandhi @narendramodi @myogiadityanath @aajtak @ndtv @AmitShah,night curfew makan kabja polic inspector pradeep kumar singh sho mahanagar lucknow instruct polic commission thakur night curfew ,[],"['@Secretary_MoHUA', '@RahulGandhi', '@narendramodi', '@myogiadityanath', '@aajtak', '@ndtv', '@AmitShah']",[],[],2
2099,D k thakur police commissioner Lucknow me night curfew ki samay makan par kabja karwaya police ki gunda gardi Woh Bhi matter high court bench me pending since 2018 pushpa Singh Vs state of up and others  https://t.co/7K7VRoPs5E,thakur polic commission lucknow night curfew samay makan par kabja karwaya polic gunda gardi woh bhi matter high court bench pend pushpa singh state ,[],[],['https://t.co/7K7VRoPs5E'],[],2
2100,Delhi's Night curfew.....पूरा सन्नाटा  #CoronavirusIndia #ArvindKejriwal  #CoronaCurfew #COVID19India #COVIDSecondWave #DelhiFightsCorona #DelhiPoliceFightsCOVID #delhicovid #delhipolice #NightCurfew #nightlife  https://t.co/jZaWlBx9Mc,delhi night curfew ,"['#CoronavirusIndia', '#ArvindKejriwal', '#CoronaCurfew', '#COVID19India', '#COVIDSecondWave', '#DelhiFightsCorona', '#DelhiPoliceFightsCOVID', '#delhicovid', '#delhipolice', '#NightCurfew', '#nightlife']",[],['https://t.co/jZaWlBx9Mc'],[],2
2101,Is there any use of 'Night Curfew' when IPL is going on?? I'm sure After 7.30 nobody will come outside 😝  #IplFever #IPL2021 #StarSports #IPLT20 #Dream11 #Curfew,night curfew ipl sure outsid ,"['#IplFever', '#IPL2021', '#StarSports', '#IPLT20', '#Dream11', '#Curfew']",[],[],['😝'],2
2102,My parents are strict.  Mera night curfew bachpan se chala aa raha hai.,parent strict mera night curfew bachpan chala raha hai ,[],[],[],[],2
2104,"Social distancing, wearing mask, curfew, lockdown etc are all these terms to be practicised as per convience of political parties..? Does the lockdown applicable to common citizens only??? #coronavirus #lockdown  @PMOIndia @narendramodi @CMOMaharashtra",social distanc wear mask curfew lockdown term practicis convienc polit parti lockdown applic common citizen ,"['#coronavirus', '#lockdown']","['@PMOIndia', '@narendramodi', '@CMOMaharashtra']",[],[],2
2105,Hon. CM has directed that during corona curfew of 35 hours the following shall be permitted   * All continuos process industries and accordingly their workers shall be allowed movement to their workplaces.,hon direct corona curfew hour follow shall permit continuo process industri accordingli worker shall allow movement workplac ,[],[],[],[],2
2106,"Night curfew started from tonight in Bhubaneswar . I salute those policeman who provide services to fight against Corona virus to save our live. ""Wear mask stay safe"" @CMO_Odisha @cpbbsrctc @DMKhordha @spkhordha  https://t.co/wgsfrSdbbS",night curfew start tonight bhubaneswar salut policeman provid servic fight corona viru save live wear mask stay safe ,[],"['@CMO_Odisha', '@cpbbsrctc', '@DMKhordha', '@spkhordha']",['https://t.co/wgsfrSdbbS'],[],2
2108,"@delhi_dc  Dear Sir, we are into essential services through our grocery shops in Sangam Vihar and Meethapur Extn. I applied for Curfew Pass by uploading the Business License and my ID card. It got rejected thrice stating incomplete documents. Kindly assist.",dear essenti servic groceri shop sangam vihar meethapur extn appli curfew upload busi licens card reject thrice state incomplet document kindli assist ,[],['@delhi_dc'],[],[],2
2109,@_pallavighosh Madam curfew is for last 2 days and only and ppl may have largely got infected before that.. pls tweet responsibly.. the graph will peak and then dip,madam curfew day ppl larg infect tweet respons graph peak dip ,[],['@_pallavighosh'],[],[],2
