,created_at,username,tweet,language,replies_count,retweets_count,likes_count
264,2021-03-14 20:58:20 India Standard Time,sonupinkoo,#WildDogTrailer #RogerFederer #ThePriest #WomensHistoryMonth #AmericasCup #today #cp #JathiRatnalu #IndianFootball #JathiRathnalu #WildDogOnApril2nd #NRLStormSouths #HeroISLFinal #USA #COVID19 #CovidReliefBill #China #ChineseVirus #ChinaVirus #confinement #doge #Ethereum RAM RAM.,en,0,1,1
265,2021-03-14 20:41:31 India Standard Time,thayya,"“Covid is not just a flu for someone like me or someone who’s immunocompromised” Vaccinate and continue to practice safety measure to protect the vulnerable including high risk people, pregnant women and children who cannot get vaccinated themselves #Covid_19",en,0,0,1
267,2021-03-14 20:34:04 India Standard Time,sipgrab,"Maharashtra records 2,940 new Covid-19 cases, state tally 44,582  https://t.co/cO8fMQ6VHG #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",en,0,0,0
268,2021-03-17 05:28:02 India Standard Time,junaidu36616611,@ImranKhanPTI Mr pm I informed you that now again in pakistan covid19 more cases everyday updated google list but گورنمنٹ don't know make problem for oversized still closed saudi arabia entry where is زلفی بُخاری Have people more problem stay in pakistan or stay in Saudi Arabia so plz take acc,en,0,0,1
270,2021-03-17 04:23:21 India Standard Time,munirmammadzade,"Today, 1st consignment of #COVID19 vaccine arrived in Uzbekistan🇺🇿 through #COVAX facility and is ready for roll-out. I thank all our partners for successful ongoing cooperation! @govuz @gavi @minzdravuz @who_europe @cepivaccines @unicefsupply @AfshanKhan_ @HelenaFraserUN  https://t.co/wfMVCyqbHn",en,4,7,59
273,2021-03-17 03:41:53 India Standard Time,aamirsaeed_,"Pakistani hospitals are getting full to the capacity again as daily #Covid_19 positivity ratio reaches above 7% #GoodNews: public trust in #Sinopharm vaccine is improving with jabs to politicians, celebrities. The need now is to start mass vaccination 👇  https://t.co/EuOOXj2lq9",en,0,1,2
274,2021-03-17 03:15:37 India Standard Time,razif423949,Only if there is no Sabah Election last year. I'm reminding myself that we could be free from Covid19 if ...,en,0,0,0
275,2021-03-17 02:48:02 India Standard Time,elchapoq,"@AlexInAir In a time of a global discouragement towards traveling and socializing @etihad publish a commercial showing an elder kiss her grand daughter on the mouth, and an extended family with 3 generations gathering over a meal  Covid-19 is crying a river in the corner 😅  https://t.co/1yLSXX3zyS",en,0,0,0
277,2021-03-17 01:52:33 India Standard Time,sipgrab,French PM says he plans to get an AstraZeneca COVID-19 vaccine  https://t.co/lBapOE43u8 #Sipgrab #UnitingPeopleWithThePossibilities,en,0,0,0
278,2021-03-17 01:43:56 India Standard Time,sirajnoorani,"#Pune reports 3,574 fresh COVID-19 cases, 1,577 recoveries, and 12 deaths in the last 24 hours   Active cases: 24,204 Total recoveries: 4,10,347 Death toll: 9,440  https://t.co/L1VXUqcfS3",en,0,1,1
